Terrain;Encounter;Type;Agression;Monsters
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark;The party walks over a magical rune that paralyzes them. If the party fails to see the trap, each member must make a Wis saving throw DC15 or be paralyzed. This paralysis can only be removed with Lesser Restoration, Dispel Magic, or any other spell with similar effects. If the entire party is trapped, they remain there, unaware of their surroundings until freed by someone else. They do not age during this paralysis.;Trap;Combat;
Underdark;?1d8+2 winged kobolds are in trees or near the ceiling waiting for their simple pit trap to be sprung and then ambush the characters;Monster, Ambush, Trap;Combat;Winged Kobold
Ocean;A ship on the horizon flying a flag signaling distress. They are being chased by.... something.;NPC;Combat;
Ocean;A beautiful song is coming from a group of jagged rocks. It calls out to anyone who can hear it, beckoning them closer. Use the Harpy stat block for the song's power.;Monster;Combat;Harpy
Ocean;A secret room is found in the ship's cabin. In it there are occult symbols on the walls and an old summoning circle. As someone approaches, the glyphs begin to glow, opening a portal to the Nine Hells. If the party doesn't close it in 6 seconds, a barbed devil comes out;Monster, Misc.;Combat;Barbed Devil
Ocean;A group of Tritons, riding giant seahorses, surround the party's vessel. They claim the party is trespassing.;NPC;Combat;
Desert, Forest, Grassland, Hill;1d4+1 gnolls are chasing a fox when The party run across them;Monster;Combat;Gnoll
Forest, Grassland;1d3 scarecrows are lurking inside a field of tall grass that the players pass through;Monster;Combat;Scarecrow
Forest;1d8+2 grung are harvesting herbs, and the players walk into their territory;Monster;Combat;Grung
Forest, Hill, Swamp;1d4 redcaps are tracking The party from behind with the intent of attacking them when they camp at night;Monster;Combat;Redcap
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp;1d6 quasits transformed into either toads, or giant centipedes, or bats are planning an ambush for anybody who walks by.;Monster, Ambush;Combat;Quasit
Underdark;The party enters a medium sized cavern with stalagmites and stalagtites. 1d6 quasits are hiding in the room, planning an ambush for anybody who walks by.;Monster, Ambush;Combat;Quasit
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp;2d6 bandits are waiting along the road. They demand a 25 gp payment from the characters to pass, otherwise, they attack.;Monster, Ambush, NPC;Combat;Bandit
Desert, Grassland;1d3 thri-kreen are blending into their surroundings, waiting to ambush prey that happens by. The party might just be that prey.;Monster, Ambush;Combat;Thri-kreen
Forest;They encounter an owlbear attacking a small caravan of four wealthy nobles with 1d6+2 guards. If The party help defeat the owlbear, the nobles give them a medal worth 50 gp that gives them street cred in any nearby city.;NPC, Animals, Monster;Combat;Owlbear
Desert, Forest, Grassland, Hill, Underdark;The party comes across a patrol of 1d4+1 hostile hobgoblins. Killing them might bring the rest of the hobgoblin hoard down on the PC's.;Monster;Combat;Hobgoblin
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp;A traveling merchant (thug) in a wagon drops a rug as they pass by The party. It's actually a rug of smothering and the merchant is actually a highway robber preying on good-nature people that try to return the rug to him.;Merchant, NPC, Monster;Combat;"Thug
Rug of Smothering"
Grassland;A trail of small *oddly* realistic animal parts scatter the ground. Should the party make too much noise, they hear a squawk and see 1d4 cockatrices emerging from a hole nearby.;Monster, Ambush;Combat;Cockatrice
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp;A succubus disguised as a regular woman is roadside by a broken cart. She gets their help fixing the wagon, and attempts to charm one of the party members and give them a kiss (draining kiss).;Monster, Ambush;Combat;Succubus
Grassland;2d6 twig blights are running from a fire elemental that is trying to burn them up. If The party do not interfere, the blights and fire elemental just pass them by.;Monster;Combat;"Twig Blight
Fire Elemental"
Forest;3 blink dogs are locked into battle with a displacer beast. If the party helps the blinks dogs win, they will show them the location of a hidden treasure.;Animals, Monster, Treasure;Combat;"Blink Dog
Displacer Beast"
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp;1d4+1 scouts ambush the party. Looting their bodies uncovers some gold and a note saying someone has put a bounty on one of the party.;NPC, Ambush, Monster;Combat;Scout
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp;A knight on a warhorse wielding a lance claims the party are dragons in disguise and charges them down.;NPC;Combat;"Knight
Warhorse"
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp;Two caped figures are leading a third bound figure along the road. If questioned, they claim the person is a captured criminal. The bound person claims the other two are cultists and beg for help. The DM decides which is true.;NPC;Combat;
Forest;A dryad runs by, chased by a woodsperson (berserker) swinging their axe. If The party help the dryad, they reward the party with some treasure. If The party help the Woodsperson, they tell the party about a short cut, remove a day of travel for The party.;NPC, Monster, Misc., Treasure;Combat;"Dryad
Berserker"
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp;A cage containing a flail snail has fallen off a caravan and is attacking the caravan workers who come to close to it. The workers will ask The party to help them get the cage back in the wagon, rewarding them if they help.;NPC, Monster, Treasure;Combat;Flail Snail
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark;1d4+1 statues surround a fountain filled with gold. If a player tries to take the gold, the statues (helmed horrors) animate and attack.;Misc., Treasure, Monster;Combat;Helmed Horror
Arctic;A pack of 1d4 ice trolls are sleeping on the path, the party can feel the extreme cold they eminate even when sleeping. If they're quiet, they should be able to make it around these trolls. If the party wakes them and enter combat, the party gains a surprise round.;Monster;Combat;Ice Troll
Arctic;A cave filled with bodies can be seen just off the road. Barrels, flasks, and bottles of alcohol can be seen from the entrance of the cave, but a young remorhaz guards them.;Monster, Treasure;Combat;Young Remorhaz
Mountain;?A wagon is ahead of the party on a cliffside when out of nowhere a troll throws a boulder at it, causing it to dangle off the cliff. Upon investigation, the party finds 1d4+1 trolls moving to attack the wagon.;Monster, NPC;Combat;Troll
Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Ocean;A dragon that has gained the scent of the party flies down, cutting them off and attacking them.;NPC, Monster;Combat;Dragon
Coastal;The corpse of a dragon turtle has washed up on the shore. As the party approaches, they can see 2d4 griffons feeding on its meat, if the party is able to sneak by, the griffons will leave them alone.;Monster;Combat;Griffon
