Encounter;Rarity;Terrain
The party hears the sound of bagpipes in the distance. Following the path, they will pass by a Bard playing a song of rest. All players lose any debuffs or exhaustion.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Bard rythmically playing a song of good health on a drum. The party gain 1d8 temporary hitpoints.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
The party passes by a Bard singing a song of heroics playing a lute. Everyone in the party gains inspiration until their next long rest.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Bard playing a somber song of misery on a flute. All party members with inspiration lose it.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Bard playing a lyre, singing a song of battle. The next combat encounter will grant twice as much gold as planned.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Bard playing a viol, singing a song of healing. Each player heals up to half of their max HP.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Bard palying a song of storms on an ocarina. A wild storm starts and forces the party to stop for the rest of the day.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by an Elven merchant pulling along a horse attached to a small cart. They are selling rations and a single potion of vitality for 25gp.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Dwarven merchant pulling along a well armored goat with a cart with various pieces of armor adorning it. They are selling studded leather armour and basic weapons.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Halfling merchant with a bag of holding. They are selling five healing potions for 30gp each.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Firbolg merchant with an ox pulling a purple painted cart. They are selling basic adventuring equipment.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Dwarven merchant with a large cart full of logs about a foot long being pulled by two horses. They are selling wood for 5cp a log.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Tiefling merchant riding a horse with two large saddle packs selling fresh meat and some herbs. The players can see the hunting gear this merchant carries and can even direct them towards beasts local to the terrain.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Firbolg Herbalist with long robes that is selling ingredients and can even direct the players towards ingredients local to the terrain.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Triton merchant with an enchanted carriage. They are selling fish. The carriage is able to keep the fish magically fresh regardlessof the terrain or weather outside. The merchant can even point out good fishing spots in the local terrain.;uncommon;Coastal, Forest, Grassland, Hill, Mountain, Swamp
The party passes by a Triton merchant with an enchanted carriage. They are selling fish. The carriage is able to keep the fish magically fresh regardlessof the terrain or weather outside. The merchant can even point out their favorite ice covered lake where they usually fish.;uncommon;Arctic
The party passes by a Triton merchant with an enchanted carriage. They are selling fish. The carriage is able to keep the fish magically fresh regardlessof the terrain or weather outside.;uncommon;Desert
The party passes by a Kenku merchant with a beauftiful green and purple robe selling gems & jewelery, but they only have a total of 500gp worth of inventory.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
"The party passes by a bug catcher who has four random bugs they'll part with. (Use the ingredient table to randomly produce bugs, select the ""Bug"" Type)";common;Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party encounters a merchant caravan. The merchants are selling a multitude of things from various types of stores.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The players encounter a group of more experienced adventurers heading in the other direction. If the players are polite, they are given two potions of greater healing.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark
As the party goes to camp, they find an encampment of well armed, friendly humans. They may stay the night here and avoid a random encounter for the night.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A stranger approaches the party and asks to be escorted to the nearest town. When the party arrives in town, the stranger will give them nothing for their troubles.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A local ranger gives the party directions to their next destination, but he sends them the wrong way on purpose. Increase the journey length by a day.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party catches up with and overtaking a slow travelling farmer, bickering with his wife. They know nothing useful.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
Hearing shouting in the distance, the party can investigate and find a man trapped under a log. The party can make strength checks to remove the log, but as the move the log off of the stranger, he vanishes - it was an illusion. With high enough investigation checks, the party will find pieces of spell components to cast such an illusion spell but no evidence for who casted it.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A stranger asks to be escorted to the nearest town. If the party agrees, the stranger gives them 100gp upon delivery.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A group of excited gnomes bounce past the party. If the party is polite to them, one gives them a useless gizmo that makes a chirping noise when wound up.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
Hearing shouting in the distance, the party can investigate and find a man trapped under a log. The party can make a strength check DC 15 to remove the log. On a success, the saviour gets inspiration. On a failure, the log drops and crushes the man.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A drunken dwarf challenges the strongest looking party member to a wrestling match. A DC15 Strength check beats her, and she gives the party member 5gp. The party member gains a level of exhaustion on a failure.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A vagrant comes to the party begging for food. If the party ignores them, they go back to where they were standing. If the party gives them some, they thank the party, but nothing else.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
A vagrant comes to the party begging for money. If the party ignores them, they go back to where they were standing. If the party gives them some, they thank the party, but nothing else.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
A vagrant comes to the party begging for money. If the party ignores them, they go back to where they were standing. If the party gives them some, they thank the party for their kindness and gives the party three times the amount back.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
With a high enough perception check, the party can see a figure hiding in one of the trees looking in the opposite direction of the party. They are a local ranger hunting for food. The ranger can give directions to the party to shorten their journey by a day if the party doesn't scare off their pray.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
With a high enough passive perception, the party notices that they are being followed by a bush. If they go to investigate, it runs into the treeline attempting to hide. If they pursue the bush, they find a hungry goblin that was following them to pick up their scraps from camping.;common;Coastal, Forest, Mountain, Swamp
A stranger on the road tells each player to repent of their sins. She knows details.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A man is buried in the road up to his neck, with the ground around him undisturbed. If the party goes to help him, the head pops out the ground and crawls off on spider legs, cackling. The party must make a DC14 Wisdom saving throw, taking 1d10 psychic damage on a failure.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A stranger asks for directions from the party to the last town they left. If they help him, he gives them 1d6x10 gold when they next appear in town, if ever.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party meets an old priest and a young priest, who offer them a blessing. The party has advantage on attacks against undead till they next take a long rest.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A goblin is stuck in a pit trap. It has a bag of gold and looks rather tired and sad.;common;Forest, Mountain, Swamp
Door in the middle of the path. If opened, a Hobgoblin is on the other side and gets a surprise attack. If walked around, the Hobgoblin flees.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
The party encounters a dryad living under a tree. She has charmed a Goblin to be her minion. She is willing to trade the party a Potion of Healing but has no interest in money, they must instead offer her an item.;common;Forest
A squirrel jumps in front of the party. He wags his tail and tries to lead the party. If they ignore him, he will throw acrons at them until he can get them to follow him. After 30 minutes of following, they find a Firbolg who has been caught in a hunting trap.;common;Forest
A boggle offers the part a handful of Goodberries in exchange for 1 silver piece. Anyone who eats one will fall asleep for 1 minute. The boggle will attempt to steal one item from anyone who falls asleep this way. A DC 15 Arcana check can reveal the Goodberries are fake.;rare;Forest, Town
Hearing retching and groaning, the party can find a very seasick Dwarf is found hiding amongst the storage.;common;Ocean
A ship on the horizon flying a flag signaling distress. They are being chased by.... something.;rare;Ocean
A group of Tritons, riding giant seahorses, surround the party's vessel. They claim the party is trespassing.;uncommon;Ocean
Two ship-hands, who had obviously been lovers are having a very public and very nasty argument on deck.;common;Ocean
The navigator is very drunk and is loudly reciting their poetry from the crow's nest.;very rare;Ocean
A pirate ship approaches the party's ship, and office for them to come share in their celebration of their latest plunder.;very rare;Ocean
A trail of 1d4+1 pixies leads the party to an injured dryad who throws a few attacks their way out of panic at first. If the party attacks back, the pixies aid the dryad.;rare;Forest
2d6 bandits are waiting along the road. They demand a 25 gp payment from the characters to pass, otherwise, they attack.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
An acolyte con artist that wants to gamble with the adventurers. She’s down on her luck and needs to pay for a mistake she made to gain entry back into her religious order.;common;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
The party comes across a troll that is acting very dramatic about how hungry he is. It speaks Common and asks for food from the party. If they give the troll food, it leaves them alone. If they don't give the troll food, it will follow them complaining about his hunger until they either give him food or the next town's guard attacks him.;uncommon;Arctic, Forest, Hill, Mountain, Swamp, Underdark
A band of 1d6+2 goblins are looking for dead dragons to use their scales to make shields. The goblins are not hostile and ask the party if they have any leads.;very rare;Forest, Hill, Mountain, Swamp, Underdark
They encounter an owlbear attacking a small caravan of four wealthy nobles with 1d6+2 guards. If The party help defeat the owlbear, the nobles give them a medal worth 50 gp that gives them street cred in any nearby city.;uncommon;Forest
A well-known serial killer (spy) who broke out of prison passes by the party wearing a hooded cloak trying to disguise himself. The man is acting very oddly. If apprehended, The party could earn a lot of money. The party recognize the serial killer on a successful DC 14 Intelligence (Investigation) check.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A traveling merchant (thug) in a wagon drops a rug as they pass by The party. It's actually a rug of smothering and the merchant is actually a highway robber preying on good-nature people that try to return the rug to him.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A random skeleton walks by carrying a mop. It asks The party to buy it a drink at the next village.;uncommon;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Town
A traveling chef is passing by is looking for adventurers to search for exotic creatures and herbs the rarer the animal the more the chef will pay.;rare;Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp
A druid is in a field hosting a planting/farming class to promote the care of nature to a group of halflings.;common;Forest, Grassland, Hill
