Herbs/Ingredients;Cost;Rarity;Ability;Description;Type;Location
Arctic Creeper;10;Common;"Toxin Modifier: Change poison damage to cold or necrotic damage, target is still [poisoned] for 1 minute on a failed CON saving throw, this toxin is still considered poison damage when combining with other ingredients.

Potion Modifier: When mixed with Bloodgrass, it gives the user resistance to cold or necrotic damage.";This noxious weed usually grows in extremely cold environments, or at higher elevations where snow tends to accumulate. The leaves of the plant characterized by a pleasant sweet minty flavor, whereas the root is bitter and acidic. The weed is one of an assassin’s favorite plants, due to the root’s ability to freeze a creature’s bloodstream, which leads to a slow and agonizing death. The Arctic Creeper is toxic to many unwary travelers, as it is quite easy to consume the root’s toxins while enjoying the sweet flavorsome leaves.;Plant;Arctic, Mountain, Town
Drakus Flower;10;Common;"Toxin Modifier: Change poison damage to fire or acid damage, target is still [poisoned] for 1 minute on a failed CON saving throw, this toxin is still considered poison damage when combining with other ingredients.

Potion Modifier: When mixed with Bloodgrass, it gives the user resistance to fire or acid damage.";This bright red and pale green flower can be found in both temperate and warm environments. It’s a natural favorite amongst entertainers, due to the petal’s ability to ignite with a moderate application of friction. This ignition does not cause harm, but instead creates theatrical sparks with the ability to light fires and create warmth.;Plant;Desert, Grassland, Mountain
Emetic Wax;10;Common;Special (Potion & Toxin Modifier): Delay the Effect of an ingredient this was combined with by 1d6 rounds;This thick, white wax is often found seeping out of trees near lush and wet areas. It is commonly used in candle making, as the wax melts and re-hardens rather quickly, yet is strong enough to form delicate shapes. Herbalists use it to control how their tonics enter the body, performing miraculous feats.;Plant;Forest, Swamp
Lavender Sprig;10;Common;Special (Potion & Toxin Modifier): Makes the potion or toxin more stable and safer to craft.;These long stemmed purple-petal flowers can often be found swaying in the wind in huge patches. They are very common amongst green environments and have a distinct sweet smell. However, they taste extremely bitter when eaten.;Plant;Coastal, Grassland, Hill
Radiant Synthseed;20;Rare;"Toxin Modifier: Change poison damage to Radiant damage, target is still [poisoned] for 1 minute on a failed CON saving throw, this toxin is still considered poison damage when combining with other ingredients.

Potion Modifier: When mixed with Bloodgrass, it gives the user resistance to radiant damage.";This long black and boat shaped seed emanates a strong yellow glow, and often exerts the smell of flowers. When the seed is cracked open, a person can find a few smaller looking seeds of the same nature. These smaller seeds can often be crushed or blended into mixtures to enhance toxins.;Plant;Underdark, Town
Bloodgrass;5;Very Common;Special (Potion Effect): Can combine with any other Potion Effect ingredient to become a food source for 1 day. Cannot be altered by other ingredients.;The most boring, common plant life found in the wild is this dark brown grass. It has absolutely no remarkable qualities, other than being relatively harmless, and its use as basic sustenance when properly prepared. Herbalists do not find this grass very unique, but still tend to collect it as it occupies almost no space in their packs.;Plant;Arctic, Desert, Coastal, Underwater, Ocean, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Town
Dried Ephedra;15;Uncommon;Potion Modifier: Increase the dice-type by 1 size for any healing Effect.;A bush often found in dry environments, it is thorny and hard to harvest without scratching your skin. It has a distinct dark purple hue when viewed at a distance, but up close it looks black. Herbalists love to use this plant when making healing tonics as it has the odd ability to enhance Wild Sageroot.;Plant;Desert, Mountain
Fennel Silk;10;Common;Potion Effect: Stabilizes body heat to resist cold weather or wet condition penalties for 1 hour. Cannot be altered by other ingredients.;Often mistaken for a spider’s web, this white web like plant grows amongst frigid and dark environments. It uses sharp hooked tendrils to help secure the edges of the plant to nearby rocks or plants. Adventurers that are adept in the use of Fennel Silk will recognize the many applications it has for protecting your extremities from harsh-low temperature environments.;Plant;Arctic, Underdark
Ginkgo Brush;15;Uncommon;Potion Modifier: Double the dice rolled of any healing Effect, but divide the total of the dice by 2 (rounding down), Then, the recipient receives that amount of healing per round for 2 rounds.;Said to grow from the long dead bodies of Awakened Shrubs, the branches and leaves of these shrubs can be ground together into a fine powder greatly enchancing the healing properties of Wild Sageroot.;Plant;Hill, Underdark
Hyacinth Nectar;10;Common;Potion Effect: Removes 1d6 rounds of poison in the target’s system, but cannot remove it completely. One round of poison damage will still occur at minimum.;This blue and white thick liquid can be extracted from the Hyacinth’s near somewhat wet areas. This nectar is of high demand and is often used by highly trained guards to counter poisons that evil people attempt to use on them. While it does not cure the mean of poisons, it severely limits its effects.;Plant;Coastal, Grassland, Underwater, Ocean
Mandrake Root;5;Very Common;Potion Effect: Reduce any disease or poison’s potency by half for 2d12 hours. Only hinders already existing poisons or diseases in the body. Cannot be altered by other ingredients.;This tan root has serrated edges all along its body that often cause injury to Herbalists that do not properly know how to handle it. When stripped of its outer skin, the soft tender center can be eaten with relative ease and is often used by Doctors to reduce pain from poison or disease.;Plant;Arctic, Desert, Coastal, Underwater, Ocean, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Town
Milkweed Seeds;5;Very Common;Potion Modifier: Double the dice rolled of any healing Effect, but remove all Alchemy Modifier bonuses. This modifier can stack.;These small, white translucent seeds can be found when opening up a Milkweed Flower. They are often eaten by children due to their friendly look, but can cause negative digestive effects this way. When crushed up and diluted with other liquid these seeds offer very powerful healing effects.;Plant;Arctic, Desert, Coastal, Underwater, Ocean, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Town
Wild Sageroot;5;Very Common;Potion Effect: Heals for 2d4 + Herbalism Modifier.;The most common ingredient found among doctors and healer’s equipment would be these light pink roots. They measure about 3 to 5 inches in length and have a smooth, fuzzy texture to them. They are used every day by skilled Alchemists and healers to create concoctions of extraordinary healing power.;Plant;Arctic, Desert, Coastal, Underwater, Ocean, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Town
